date,y,glmnet_pred,xgb_pred,svmpoly_pred,DNN_predict
2020/05/09,9554.6,10647.21314,10191.86133,8400.190259,4809.078
2020/05/10,8738.8,10397.99802,10300.55957,8164.817444,4466.674
2020/05/11,8579.8,10276.13429,10232.20801,7964.745552,4336.0547
2020/05/12,8813.8,10230.83024,10232,7920.673446,4223.162
2020/05/13,9298.7,10205.97899,10082.53027,7976.67343,4261.425
2020/05/14,9778.4,10156.61814,9985.769531,7945.315005,4170.986
2020/05/15,9318,10150.92044,10196.35059,8057.101304,4221.5938
2020/05/16,9379.5,10018.96312,9950.512695,7973.469458,4076.9753
2020/05/17,9677.7,9889.761885,9759.169922,7946.495978,3990.9797
2020/05/18,9730.7,10167.51072,9928.053711,8227.392668,4304.8486
2020/05/19,9773.3,10047.06313,9895.811523,8226.153654,4178.324
2020/05/20,9512.3,10030.56607,9422.1875,8268.591022,4174.6206
2020/05/21,9059,9999.71004,9507.430664,8185.761857,4087.7576
2020/05/22,9169.7,9646.326556,9037.186523,7989.098261,3747.475
2020/05/23,9177,9391.917002,8646.352539,7926.334864,3509.8242
2020/05/24,8728.2,9395.84828,8427.96582,8001.727424,3546.0347
2020/05/25,8898.2,9279.909863,8319.922852,7952.037184,3442.5156
2020/05/26,8842.5,9223.697575,8182.168457,7892.377915,3329.5957
2020/05/27,9199.1,9224.636886,8388.803711,7889.619495,3301.0122
2020/05/28,9572.2,9220.608943,8079.066406,7941.914374,3340.0042
2020/05/29,9424.8,9244.764874,8427.978516,8135.961546,3469.0862
2020/05/30,9692.5,9286.023294,8415.699219,8135.294532,3455.7485
2020/05/31,9454.8,9328.53912,8323.220703,8221.308645,3546.7207
2020/06/01,10189.3,9382.297368,8484.0625,8198.858191,3554.235
2020/06/02,9527.6,9542.094827,8635.317383,8362.214258,3773.5698
2020/06/03,9667.2,9415.589889,8439.30957,8140.063727,3563.207
2020/06/04,9794.4,9661.172812,8603.727539,8308.611762,3836.4775
2020/06/05,9631.2,9609.055902,8586.282227,8288.604529,3825.2988
2020/06/06,9669.6,9694.724788,8718.670898,8310.996735,3876.7617
2020/06/07,9742.6,9667.925993,8577.539063,8312.78961,3912.7725
2020/06/08,9777.9,9751.180507,8800.175781,8298.962949,3995.1006
2020/06/09,9768.8,9827.914838,9244.552734,8271.446753,4020.3008
2020/06/10,9878.8,9988.442289,9419.509766,8319.203298,4114.121
2020/06/11,9283.2,9957.336568,9291.594727,8277.011406,4150.2197
2020/06/12,9466.6,9506.388382,9289.327148,7892.211246,3672.6997
2020/06/13,9471.3,9650.672351,9212.595703,7894.812698,3766.992
2020/06/14,9345.3,9760.995531,9235.041992,7952.75722,3875.3096
2020/06/15,9425.4,9726.000154,9697.450195,7882.368005,3833.6436
2020/06/16,9523.5,9768.285767,9520.189453,7933.193803,3919.9392
2020/06/17,9464.6,9751.407795,9755.75293,7909.301221,3849.9895
2020/06/18,9388.1,9827.461323,9609.426758,7960.328862,3970.6611
2020/06/19,9314,9845.800862,9290.919922,7933.993057,3981.184
2020/06/20,9358.8,9805.34706,9661.728516,7908.131346,3917.853
2020/06/21,9296.4,9799.367685,9677.188477,7876.702386,3863.5142
2020/06/22,9683.7,9842.455405,9851.625,7928.06493,3977.3748
2020/06/23,9624.6,9925.300354,9753.652344,7991.892773,4046.3945
2020/06/24,9302,10158.1912,9986.057617,8234.8549,4294.5938
2020/06/25,9247.5,9926.767163,9384.756836,8039.612517,4052.3818
2020/06/26,9160,9819.560164,9754.735352,7962.994515,3914.0935
2020/06/27,9008.3,9871.21547,9465.813477,8040.442664,3969.1567
2020/06/28,9124,9814.61389,9337.129883,7960.698319,3927.6938
2020/06/29,9185.4,9866.92209,9462.362305,8002.726745,3998.2542
2020/06/30,9135.4,9932.662334,9356.59668,8070.002529,4087.2744
2020/07/01,9229.9,9889.449075,9531.453125,8017.522145,3960.067
2020/07/02,9085.1,9871.131803,9395.117188,8015.377534,3964.2764
2020/07/03,9067.1,9773.69079,9342.780273,7995.414915,3952.6226
2020/07/04,9134.4,9729.347698,9344.097656,7962.557567,3856.561
2020/07/05,9081,9709.583066,9366.163086,7908.751461,3803.7722
2020/07/06,9339,9831.965821,9328.831055,7983.4229,4011.8608
2020/07/07,9256,9915.458069,9818.598633,8048.561668,4053.926
