date,index_num,y,glmnet_pred
2020/08/06,291,11757.1,12763.26251
2020/08/07,292,11592,12725.81703
2020/08/08,293,11764.3,12724.76525
2020/08/09,294,11681.2,12879.19469
2020/08/10,295,11889.2,12943.15928
2020/08/11,296,11390.4,13119.45988
2020/08/12,297,11557.2,12880.29243
2020/08/13,298,11770.9,12946.45057
2020/08/14,299,11750.8,13032.52503
2020/08/15,300,11845.3,12933.82669
2020/08/16,301,11899,12934.42518
2020/08/17,302,12282.6,12976.82463
2020/08/18,303,11947.6,13027.33029
2020/08/19,304,11750.2,12934.12866
2020/08/20,305,11856.9,12832.06176
2020/08/21,306,11529.2,12848.34304
2020/08/22,307,11661.3,12673.69175
2020/08/23,308,11641.6,12591.86756
2020/08/24,309,11753.5,12648.74845
2020/08/25,310,11324.8,12607.27529
2020/08/26,311,11462.3,12577.55834
2020/08/27,312,11327.4,12459.04838
2020/08/28,313,11527.4,12384.57388
2020/08/29,314,11468.1,12400.04954
2020/08/30,315,11702,12261.08604
2020/08/31,316,11644.2,12224.62419
2020/09/01,317,11914.9,12260.28963
2020/09/02,318,11413.3,12577.3055
2020/09/03,319,10168.8,12398.34298
2020/09/04,320,10472.5,11381.69828
2020/09/05,321,10092.2,11452.95318
2020/09/06,322,10296.4,11407.83975
2020/09/07,323,10376.9,11416.34188
2020/09/08,324,10126.6,11424.03435
2020/09/09,325,10224.6,11325.64368
2020/09/10,326,10339.7,11340.43635
2020/09/11,327,10390.2,11327.66684
2020/09/12,328,10441.9,11369.49234
2020/09/13,329,10326,11285.081
2020/09/14,330,10675.3,11341.90338
2020/09/15,331,10785.3,11585.09462
2020/09/16,332,10949.5,11492.42936
2020/09/17,333,10941.3,11533.839
2020/09/18,334,10933,11478.50669
2020/09/19,335,11081.8,11472.84968
2020/09/20,336,10921.5,11567.33358
2020/09/21,337,10416.8,11457.75476
2020/09/22,338,10531.5,11183.64217
2020/09/23,339,10237.3,11258.78377
2020/09/24,340,10739.4,11168.4803
2020/09/25,341,10688.8,11231.3339
2020/09/26,342,10727.9,11181.76553
2020/09/27,343,10776.2,11082.04097
2020/09/28,344,10693.2,11042.48841
2020/09/29,345,10840.9,11120.13552
2020/09/30,346,10776.1,11177.80102
2020/10/01,347,10620.5,11042.77751
2020/10/02,348,10572.3,10971.91988
2020/10/03,349,10544.2,10826.00406
2020/10/04,350,10672.9,10977.67833
2020/10/05,351,10789.5,11016.06666
2020/10/06,352,10602.6,11170.33261
2020/10/07,353,10670.9,11110.53186
2020/10/08,354,10924.1,11369.79539
2020/10/09,355,11054.2,11388.45724
2020/10/10,356,11298.4,11585.09275
2020/10/11,357,11371,11680.30194
2020/10/12,358,11533.9,11731.01725
2020/10/13,359,11423.8,12060.75496
2020/10/14,360,11420.4,12128.46844
2020/10/15,361,11503,12395.43642
2020/10/16,362,11322,12283.3994
2020/10/17,363,11362.1,12616.79491
2020/10/18,364,11506.9,12602.42115
2020/10/19,365,11753.4,12867.17734
2020/10/20,366,11913.5,13075.10588
2020/10/21,367,12808.7,13371.46403
2020/10/22,368,12974.6,13789.02738
2020/10/23,369,12934.1,13891.51484
2020/10/24,370,13117.2,13913.43257
2020/10/25,371,13032.2,14234.78445
2020/10/26,372,13061.6,14334.60383
2020/10/27,373,13657.8,14071.77897
2020/10/28,374,13278.9,14377.32028
2020/10/29,375,13457.2,14535.55437
2020/10/30,376,13559.9,14859.83183
2020/10/31,377,13797.3,14976.87128
2020/11/01,378,13759.4,15067.85853
2020/11/02,379,13561.4,15184.17728
2020/11/03,380,14019.9,15307.47074
2020/11/04,381,14145.6,15595.62801
2020/11/05,382,15587.1,15813.18202
2020/11/06,383,15577.9,16220.48652
2020/11/07,384,14828.4,16330.36222
2020/11/08,385,15483.7,15749.30845
2020/11/09,386,15327.2,16512.00481
2020/11/10,387,15303.6,16828.26702
2020/11/11,388,15695.8,16969.64702
2020/11/12,389,16294.7,17102.69537
2020/11/13,390,16324.2,17325.01485
2020/11/14,391,16071,17464.06563
2020/11/15,392,15953,17567.40688
2020/11/16,393,16715.8,17995.64149
2020/11/17,394,17662.3,17976.81023
2020/11/18,395,17774.6,18346.10151
2020/11/19,396,17803.5,18690.92795
2020/11/20,397,18675.2,18618.38681
2020/11/21,398,18687.2,18649.23324
2020/11/22,399,18412.9,18994.20108
2020/11/23,400,18379.6,19030.6648
2020/11/24,401,19152.6,19312.79816
2020/11/25,402,18723,19552.21136
2020/11/26,403,17162,19652.05446
2020/11/27,404,17127.1,19549.64367
2020/11/28,405,17730.7,19626.15234
2020/11/29,406,18185.5,19691.46988
2020/11/30,407,19698.1,19768.41775
2020/12/01,408,18770.7,20026.95812
2020/12/02,409,19218.8,19895.09861
2020/12/03,410,19433.3,19889.02396
2020/12/04,411,18658.1,19896.92671
2020/12/05,412,19146.5,19821.98669
2020/12/06,413,19379.9,19792.89266
2020/12/07,414,19170.7,19527.5924
2020/12/08,415,18326.6,19821.73154
2020/12/09,416,18546,19656.17055
2020/12/10,417,18247.2,19940.49018
2020/12/11,418,18023.6,19810.17236
2020/12/12,419,18808.9,20021.91567
2020/12/13,420,19176.8,20152.52293
2020/12/14,421,19273.8,20553.64923
2020/12/15,422,19434.9,20763.16217
2020/12/16,423,21352.2,21084.74774
2020/12/17,424,22825.4,21060.55957
2020/12/18,425,23127.9,21690.04994
2020/12/19,426,23844,22192.86037
2020/12/20,427,23474.9,22703.7623
2020/12/21,428,22728.5,23293.41891
2020/12/22,429,23823.2,23927.30205
2020/12/23,430,23257.9,24812.74654
2020/12/24,431,23736.5,24452.33194
2020/12/25,432,24689.6,25363.7219
2020/12/26,433,26454.4,26431.50887
2020/12/27,434,26261.3,27190.49296
2020/12/28,435,27057.8,27913.96266
2020/12/29,436,27376,28555.04693
2020/12/30,437,28868.7,29445.13426
2020/12/31,438,28949.4,30594.84002
2021/01/01,439,29359.9,30446.16221
2021/01/02,440,32193.3,31158.37532
2021/01/03,441,32958.9,32248.54808
2021/01/04,442,32022.6,32967.63614
2021/01/05,443,33991.5,33641.55164
2021/01/06,444,36793.2,34279.10701
2021/01/07,445,39460.2,34496.76216
2021/01/08,446,40599.3,34814.45575
